Author Name,Title,Cited By,Publication Year
Justin Li,"Reactive astrocyte nomenclature, definitions, and future directions",1629,2021
Justin Li,GABA from reactive astrocytes impairs memory in mouse models of Alzheimer's disease,744,2014
Justin Li,Channel-mediated tonic GABA release from glia,601,2010
Justin Li,Nitric oxide acts directly in the presynaptic neuron to produce long-term potentiationin cultured hippocampal neurons,496,1996
Justin Li,Three-dimensional brain-on-a-chip with an interstitial level of flow and its application as an in vitro model of Alzheimer's disease,369,2015
Justin Li,TREK-1 and Best1 channels mediate fast and slow glutamate release in astrocytes upon GPCR activation,365,2012
Justin Li,ATP P2X receptors mediate fast synaptic transmission in the dorsal horn of the rat spinal cord,307,1997
Justin Li,Synaptic strengthening through activation of Ca2+ -permeable AMPA receptors,282,1996
Justin Li,"Amphetamine distorts stimulation-dependent dopamine overflow: effects on D2 autoreceptors, transporters, and synaptic vesicle stores",276,2001
Justin Li,"Common signaling pathways link activation of murine PAR-1, LPA, and S1P receptors to proliferation of astrocytes",245,2003
Justin Li,Development of a Laboratory-safe and Low-cost Detection Protocol for SARS-CoV-2 of the Coronavirus Disease 2019 (COVID-19),237,2020
Justin Li,Bestrophin 1 and retinal disease,236,2017
Justin Li,Astrocytic control of synaptic NMDA receptors,236,2007
Justin Li,New insights on astrocyte ion channels: critical for homeostasis and neuron-glia signaling,219,2015
Justin Li,"Subunit-specific agonist activity at NR2A-, NR2B-, NR2C-, and NR2D-containing N-methyl-D-aspartate glutamate receptors",205,2007
Justin Li,Severe reactive astrocytes precipitate pathological hallmarks of Alzheimer’s disease via H2O2− production,203,2020
Justin Li,Excitatory actions of GABA in the suprachiasmatic nucleus,203,2008
Justin Li,"Caffeine-mediated inhibition of calcium release channel inositol 1, 4, 5-trisphosphate receptor subtype 3 blocks glioblastoma invasion and extends survival",202,2010
Justin Li,Optimization of primer sets and detection protocols for SARS-CoV-2 of coronavirus disease 2019 (COVID-19) using PCR and real-time PCR,192,2020
Justin Li,Ultrasonic neuromodulation via astrocytic TRPA1,188,2019
Justin Li,Protease-activated receptor-1 in human brain: localization and functional expression in astrocytes,182,2004
Justin Li,Neuroligin-1 is required for normal expression of LTP and associative fear memory in the amygdala of adult animals,181,2008
Justin Li,Reactive astrocytes in Alzheimer’s disease: A double-edged sword,178,2018
Justin Li,A disulphide-linked heterodimer of TWIK-1 and TREK-1 mediates passive conductance in astrocytes,162,2014
Justin Li,"Glial GABA, synthesized by monoamine oxidase B, mediates tonic inhibition",159,2014
